,year,month,day,hour,minute,second,lat,lon,depth_km,mag
231,1970,9,11,12,50,30,-27.1466,-70.9895,25000.0,5.05
232,1970,9,14,15,17,58,-33.9713,-72.2082,19000.0,4.99
233,1970,9,14,15,23,3,-33.9917,-72.0548,19000.0,5.17
234,1970,9,14,15,36,51,-33.9842,-72.2498,26998.6,5.575
235,1970,9,14,18,6,25,-34.0309,-72.0404,19000.0,5.1
236,1970,9,16,14,11,13,-23.9053,-70.6105,36000.0,4.5
237,1970,9,17,9,53,57,-33.9342,-71.9096,19000.0,4.59
238,1970,9,17,23,15,2,-31.9344,-69.9712,112027.0,5.25
239,1970,9,18,7,45,59,-33.9641,-72.3451,23201.0,4.93
240,1970,9,18,17,27,10,-21.2324,-68.4949,123917.6,5.25
241,1970,9,18,22,49,3,-33.9674,-72.0175,11220.4,5.24
242,1970,9,18,22,54,6,-33.8773,-72.1724,19000.0,5.02
243,1970,9,19,6,37,27,-33.5194,-71.945,17175.7,5.645
244,1970,9,22,14,18,7,-34.1564,-72.3418,17000.0,4.58
245,1970,9,23,6,14,57,-34.0093,-72.0785,25725.6,4.36
246,1970,9,23,8,31,55,-11.5137,-77.4043,35000.0,4.6
247,1970,9,24,6,7,20,4.0251,-76.0163,154092.9,4.54
248,1970,9,25,23,21,34,-24.9539,-69.0458,109526.0,5.1
249,1970,9,26,12,2,31,6.2704,-77.458,7380.5,6.325
250,1970,9,26,14,0,28,-25.0339,-69.0394,101231.6,4.45
251,1970,9,26,14,57,2,6.2521,-77.4719,7363.3,5.46
252,1970,9,26,18,13,28,6.3392,-77.3531,17000.0,4.67
253,1970,9,27,3,38,39,6.409,-77.3902,13000.0,6.195
254,1970,9,27,5,45,31,6.0415,-77.4485,17000.0,4.63
255,1970,9,28,5,1,13,-33.7644,-71.421,55900.4,4.99
256,1970,9,28,10,45,20,-20.8654,-69.1458,104566.3,4.84
257,1970,9,29,4,54,40,2.6738,-75.1666,35000.0,4.51
258,1970,9,29,5,59,9,-11.8434,-75.1701,9000.0,4.6
259,1970,9,30,22,56,27,-15.3222,-75.1699,67562.4,5.03
260,1970,10,3,14,16,56,6.4033,-77.5046,20883.0,5.29
261,1970,10,3,18,49,23,-25.1922,-71.1053,35000.0,4.92
262,1970,10,5,11,44,40,-34.0722,-72.1095,19000.0,5.02
263,1970,10,5,22,10,10,-9.3249,-78.8731,76003.5,4.8
264,1970,10,6,15,38,6,6.0881,-77.4421,17000.0,4.13
265,1970,10,6,18,51,38,5.9481,-77.4695,17000.0,4.48
266,1970,10,6,21,25,21,6.2298,-77.5885,22211.4,5.24
267,1970,10,7,1,11,23,5.9111,-77.3571,17228.3,4.77
268,1970,10,8,12,6,22,-25.5646,-71.0712,35000.0,4.89
269,1970,10,9,15,53,12,-10.4781,-78.9766,40000.0,4.83
270,1970,10,10,21,6,16,-21.781,-68.552,115000.0,4.62
271,1970,10,13,1,37,1,-23.6524,-70.1553,25107.3,4.2
272,1970,10,13,4,39,29,-23.7908,-70.531,23857.0,5.05
273,1970,10,13,8,52,34,-22.1636,-69.0085,110000.0,4.68
274,1970,10,17,3,41,25,6.753,-73.0525,166000.0,4.49
275,1970,10,20,16,19,1,-15.6145,-70.2,224000.0,4.7
276,1970,10,22,4,24,49,6.4408,-77.3608,13000.0,4.25
277,1970,10,22,4,46,43,6.6003,-77.2994,35000.0,4.48
278,1970,10,22,7,43,39,6.3707,-77.3462,13000.0,4.75
279,1970,10,23,15,49,34,-10.3227,-75.1001,41000.0,4.75
280,1970,10,26,3,57,51,-35.4924,-73.0414,17000.0,4.83
281,1970,10,26,4,0,34,-35.623,-73.045,17000.0,4.91
282,1970,10,26,13,10,11,6.5121,-82.4931,10000.0,4.81
283,1970,10,27,9,37,40,-12.742,-76.6661,65000.0,4.63
284,1970,10,28,11,56,50,6.1725,-77.5125,14755.1,4.27
285,1970,10,29,22,17,32,-32.561,-73.1136,10000.0,4.82
286,1970,10,30,9,19,8,-9.6224,-75.6308,15709.2,4.8
287,1970,10,30,12,46,26,-37.7957,-72.6095,30104.3,4.72
288,1970,10,31,3,26,31,-36.1257,-72.7318,57103.3,4.71
289,1970,11,1,9,39,45,-31.4597,-69.1072,110000.0,4.48
290,1970,11,3,12,36,6,-24.1216,-67.1214,189111.5,4.66
291,1970,11,5,8,22,45,6.2402,-77.3187,13000.0,4.74
292,1970,11,5,13,11,52,6.8234,-82.5773,17901.6,5.515
